Price,Close,High,Low,Open,Volume
Ticker,BAC,BAC,BAC,BAC,BAC
Date,,,,,
2023-06-05,27.211462020874023,27.478426838824774,26.982632436114194,27.478426838824774,34757800
2023-06-06,27.869340896606445,28.060031609204195,27.125651118310323,27.135184017234938,46297900
2023-06-07,28.10770034790039,28.26978689056619,27.65957958573552,27.936079088776463,44502600
2023-06-08,27.869340896606445,28.01235802177405,27.64051313262599,27.91701448403659,41483100
2023-06-09,27.90747833251953,28.031426016346007,27.726322346716543,27.840737132108252,32671800
2023-06-12,27.773998260498047,28.18398205974411,27.56423991094588,27.9360848365125,41011300
2023-06-13,28.03142738342285,28.412806989059348,27.67865193016962,27.77399546765769,42718800
2023-06-14,27.764461517333984,28.346064711944138,27.64051201359514,28.19351287546659,38322800
2023-06-15,28.002824783325195,28.098168319906655,27.354478550627505,27.554702159722233,42044900
2023-06-16,27.83120346069336,28.298393699685356,27.802599308630484,28.155376576493747,53028200
2023-06-20,27.52610206604004,27.68818863740385,27.24960069548231,27.659584482964988,39040900
2023-06-21,27.24006462097168,27.650048388040034,27.21146228651855,27.440290054950818,39553400
2023-06-22,26.658458709716797,27.20192668802714,26.601252224101483,27.173322535938787,50742900
2023-06-23,26.458234786987305,26.5917171913604,26.30568294811481,26.448700069737605,54998400
2023-06-26,26.78240966796875,26.963565670554072,26.496375405833177,26.505908305151074,47519300
2023-06-27,26.925426483154297,27.07797833031177,26.648926942141927,26.791944071531873,39081800
2023-06-28,26.76333999633789,26.95403071512199,26.601253430939845,26.934961279531286,37803800
2023-06-29,27.325876235961914,27.6500493741088,27.07797902334597,27.173324384900027,68376400
2023-06-30,27.354476928710938,27.75492594171814,27.335407495100764,27.592839393154243,50370700
2023-07-03,27.840736389160156,27.983753503162298,27.31633787973728,27.364011463445507,30995800
2023-07-05,27.7263240814209,28.050497205324504,27.602376389839606,27.78353056841523,37492000
2023-07-06,26.963563919067383,27.478425921179547,26.79194264550954,27.45935648665948,52098000
2023-07-07,27.201927185058594,27.478426719385943,26.973099419854826,26.982632318830404,34231500
2023-07-10,27.325876235961914,27.50703224105847,27.144720230865357,27.25913502844253,36086000
2023-07-11,27.669116973876953,27.726323459588286,27.097046661079446,27.32587442248617,40978700
2023-07-12,27.9932918548584,28.49861917785393,27.90748121160227,28.136308987431445,41855500
2023-07-13,28.28885841369629,28.47954911982628,28.04096122315184,28.14584129337947,39589000
2023-07-14,27.754926681518555,28.698841847646506,27.697718379163163,28.60349649561552,58660500
2023-07-17,28.03142738342285,28.18397922567745,27.76446256875801,27.793064902579868,49477200
2023-07-18,29.27091407775879,29.423465923676268,28.52722246499,28.60349838794874,98253800
2023-07-19,30.062274932861328,30.22436148284103,29.261376899851193,29.452065781934706,70619800
2023-07-20,30.214828491210938,30.319706745848933,29.80484473440754,29.87158593787574,42128800
2023-07-21,30.491329193115234,30.615278705938806,29.95739772630997,30.386450934450835,70813600
2023-07-24,31.13014030456543,31.3208273725072,30.491326988167913,30.510396422386627,64548600
2023-07-25,30.653413772583008,31.26362108748166,30.577136039659432,31.235015119074074,51208800
2023-07-26,30.90131187438965,31.025261382835986,30.653416494619787,30.73922713321759,41814600
2023-07-27,30.462726593017578,31.21595292551451,30.338777081273335,30.92038213200836,45529500
2023-07-28,30.415050506591797,30.66294769116019,30.233894521991566,30.653414792788716,33296500
2023-07-31,30.51039695739746,30.74875943362713,30.300638632997448,30.41505160319332,29093400
